里程(公里),路線,總里程,里程,地標名稱,分段第一行,分段第二行,左下角備註,右下角備註
0,CM300,500,157,光被八表,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.1,CM300,500,158,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.2,CM300,500,159,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.3,CM300,500,160,能高越嶺岔路,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.4,CM300,500,161,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.5,CM300,500,162,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.6,CM300,500,163,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.7,CM300,500,164,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.8,CM300,500,165,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
0.9,CM300,500,166,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1,CM300,500,167,電塔,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.1,CM300,500,168,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.2,CM300,500,169,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.3,CM300,500,170,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.4,CM300,500,171,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.5,CM300,500,172,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.6,CM300,500,173,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.7,CM300,500,174,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.8,CM300,500,175,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
