[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
東眼-拉卡,東眼山,0.0,拉卡山,3.3,DY001,00,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292221,2746459,24.825003,121.417701
東眼-拉卡,東眼山,0.1,拉卡山,3.2,DY001,01,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292313,2746469,24.825086,121.418605
東眼-拉卡,東眼山,0.2,拉卡山,3.1,DY001,02,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292387,2746509,24.825445,121.419345
東眼-拉卡,東眼山,0.3,拉卡山,3.0,DY001,03,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292471,2746481,24.825190,121.420171
東眼-拉卡,東眼山,0.4,拉卡山,2.9,DY001,04,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292554,2746480,24.825183,121.420993
東眼-拉卡,東眼山,0.5,拉卡山,2.8,DY001,05,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292636,2746447,24.824879,121.421801
東眼-拉卡,東眼山,0.6,拉卡山,2.7,DY001,06,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292711,2746481,24.825188,121.422550
東眼-拉卡,東眼山,0.7,拉卡山,2.6,DY001,07,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292794,2746517,24.825506,121.423365
東眼-拉卡,東眼山,0.8,拉卡山,2.5,DY001,08,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292876,2746468,24.825064,121.424175
東眼-拉卡,東眼山,0.9,拉卡山,2.4,DY001,09,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292896,2746372,24.824192,121.424370
東眼-拉卡,東眼山,1.0,拉卡山,2.3,DY001,10,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292920,2746277,24.823340,121.424613
東眼-拉卡,東眼山,1.1,拉卡山,2.2,DY001,11,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292968,2746196,24.822601,121.425085
東眼-拉卡,東眼山,1.2,拉卡山,2.1,DY001,12,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292967,2746102,24.821755,121.425068
東眼-拉卡,東眼山,1.3,拉卡山,2.0,DY001,13,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292973,2746009,24.820918,121.425121
東眼-拉卡,東眼山,1.4,拉卡山,1.9,DY001,14,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),292995,2745926,24.820162,121.425344
東眼-拉卡,東眼山,1.5,拉卡山,1.8,DY001,15,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293064,2745878,24.819731,121.426024
東眼-拉卡,東眼山,1.6,拉卡山,1.7,DY001,16,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293123,2745827,24.819268,121.426598
東眼-拉卡,東眼山,1.7,拉卡山,1.6,DY001,17,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293176,2745747,24.818547,121.427129
東眼-拉卡,東眼山,1.8,拉卡山,1.5,DY001,18,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293211,2745662,24.817772,121.427469
東眼-拉卡,東眼山,1.9,拉卡山,1.4,DY001,19,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293208,2745563,24.816880,121.427439
東眼-拉卡,東眼山,2.0,拉卡山,1.3,DY001,20,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293266,2745523,24.816520,121.428005
東眼-拉卡,東眼山,2.1,拉卡山,1.2,DY001,21,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293335,2745453,24.815889,121.428688
東眼-拉卡,東眼山,2.2,拉卡山,1.1,DY001,22,東眼山(0.0)➡東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293310,2745367,24.815108,121.428437
東眼-拉卡,東眼山,2.3,拉卡山,1.0,DY001,23,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),➡東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293357,2745301,24.814512,121.428901
東眼-拉卡,東眼山,2.4,拉卡山,0.9,DY001,24,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),➡東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293404,2745239,24.813955,121.429361
東眼-拉卡,東眼山,2.5,拉卡山,0.8,DY001,25,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),➡東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293501,2745237,24.813927,121.430322
東眼-拉卡,東眼山,2.6,拉卡山,0.7,DY001,26,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),➡東滿步道/拉卡岔路(2.65)⇨拉卡山(3.3),293593,2745220,24.813771,121.431237
東眼-拉卡,東眼山,2.7,拉卡山,0.6,DY001,27,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),293690,2745193,24.813528,121.432195
東眼-拉卡,東眼山,2.8,拉卡山,0.5,DY001,28,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),293773,2745143,24.813071,121.433016
東眼-拉卡,東眼山,2.9,拉卡山,0.4,DY001,29,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),293864,2745147,24.813105,121.433911
東眼-拉卡,東眼山,3.0,拉卡山,0.3,DY001,30,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),293948,2745101,24.812692,121.434737
東眼-拉卡,東眼山,3.1,拉卡山,0.2,DY001,31,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),294037,2745065,24.812363,121.435619
東眼-拉卡,東眼山,3.2,拉卡山,0.1,DY001,32,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),294127,2745056,24.812279,121.436514
東眼-拉卡,東眼山,3.3,拉卡山,0.0,DY001,33,東眼山(0.0)⇨東滿步道/東眼岔路(2.3),⇨東滿步道/拉卡岔路(2.65)➡拉卡山(3.3),294152,2745087,24.812561,121.436758
拉卡-東眼,拉卡山,3.3,東眼山,0.0,DY001,00,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292221,2746459,24.825003,121.417701
拉卡-東眼,拉卡山,3.2,東眼山,0.1,DY001,01,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292313,2746469,24.825086,121.418605
拉卡-東眼,拉卡山,3.1,東眼山,0.2,DY001,02,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292387,2746509,24.825445,121.419345
拉卡-東眼,拉卡山,3.0,東眼山,0.3,DY001,03,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292471,2746481,24.825190,121.420171
拉卡-東眼,拉卡山,2.9,東眼山,0.4,DY001,04,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292554,2746480,24.825183,121.420993
拉卡-東眼,拉卡山,2.8,東眼山,0.5,DY001,05,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292636,2746447,24.824879,121.421801
拉卡-東眼,拉卡山,2.7,東眼山,0.6,DY001,06,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292711,2746481,24.825188,121.422550
拉卡-東眼,拉卡山,2.6,東眼山,0.7,DY001,07,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292794,2746517,24.825506,121.423365
拉卡-東眼,拉卡山,2.5,東眼山,0.8,DY001,08,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292876,2746468,24.825064,121.424175
拉卡-東眼,拉卡山,2.4,東眼山,0.9,DY001,09,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292896,2746372,24.824192,121.424370
拉卡-東眼,拉卡山,2.3,東眼山,1.0,DY001,10,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292920,2746277,24.823340,121.424613
拉卡-東眼,拉卡山,2.2,東眼山,1.1,DY001,11,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292968,2746196,24.822601,121.425085
拉卡-東眼,拉卡山,2.1,東眼山,1.2,DY001,12,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292967,2746102,24.821755,121.425068
拉卡-東眼,拉卡山,2.0,東眼山,1.3,DY001,13,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292973,2746009,24.820918,121.425121
拉卡-東眼,拉卡山,1.9,東眼山,1.4,DY001,14,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),292995,2745926,24.820162,121.425344
拉卡-東眼,拉卡山,1.8,東眼山,1.5,DY001,15,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293064,2745878,24.819731,121.426024
拉卡-東眼,拉卡山,1.7,東眼山,1.6,DY001,16,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293123,2745827,24.819268,121.426598
拉卡-東眼,拉卡山,1.6,東眼山,1.7,DY001,17,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293176,2745747,24.818547,121.427129
拉卡-東眼,拉卡山,1.5,東眼山,1.8,DY001,18,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293211,2745662,24.817772,121.427469
拉卡-東眼,拉卡山,1.4,東眼山,1.9,DY001,19,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293208,2745563,24.816880,121.427439
拉卡-東眼,拉卡山,1.3,東眼山,2.0,DY001,20,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293266,2745523,24.816520,121.428005
拉卡-東眼,拉卡山,1.2,東眼山,2.1,DY001,21,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293335,2745453,24.815889,121.428688
拉卡-東眼,拉卡山,1.1,東眼山,2.2,DY001,22,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293310,2745367,24.815108,121.428437
拉卡-東眼,拉卡山,1.0,東眼山,2.3,DY001,23,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)➡東眼山(0.0),293357,2745301,24.814512,121.428901
拉卡-東眼,拉卡山,0.9,東眼山,2.4,DY001,24,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),➡東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293404,2745239,24.813955,121.429361
拉卡-東眼,拉卡山,0.8,東眼山,2.5,DY001,25,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),➡東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293501,2745237,24.813927,121.430322
拉卡-東眼,拉卡山,0.7,東眼山,2.6,DY001,26,拉卡山(3.3)⇨東滿步道/拉卡岔路(2.65),➡東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293593,2745220,24.813771,121.431237
拉卡-東眼,拉卡山,0.6,東眼山,2.7,DY001,27,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293690,2745193,24.813528,121.432195
拉卡-東眼,拉卡山,0.5,東眼山,2.8,DY001,28,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293773,2745143,24.813071,121.433016
拉卡-東眼,拉卡山,0.4,東眼山,2.9,DY001,29,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293864,2745147,24.813105,121.433911
拉卡-東眼,拉卡山,0.3,東眼山,3.0,DY001,30,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),293948,2745101,24.812692,121.434737
拉卡-東眼,拉卡山,0.2,東眼山,3.1,DY001,31,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),294037,2745065,24.812363,121.435619
拉卡-東眼,拉卡山,0.1,東眼山,3.2,DY001,32,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),294127,2745056,24.812279,121.436514
拉卡-東眼,拉卡山,0.0,東眼山,3.3,DY001,33,拉卡山(3.3)➡東滿步道/拉卡岔路(2.65),⇨東滿步道/東眼岔路(2.3)⇨東眼山(0.0),294152,2745087,24.812561,121.436758
