[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
東眼-東滿岔,東眼山,0.0,東滿岔路,2.1,DY002,00,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292317,2746470,24.825096,121.418645
東眼-東滿岔,東眼山,0.1,東滿岔路,2.0,DY002,01,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292392,2746511,24.825464,121.419391
東眼-東滿岔,東眼山,0.2,東滿岔路,1.9,DY002,02,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292478,2746479,24.825173,121.420244
東眼-東滿岔,東眼山,0.3,東滿岔路,1.8,DY002,03,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292563,2746480,24.825176,121.421078
東眼-東滿岔,東眼山,0.4,東滿岔路,1.7,DY002,04,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292644,2746442,24.824836,121.421880
東眼-東滿岔,東眼山,0.5,東滿岔路,1.6,DY002,05,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292719,2746488,24.825245,121.422623
東眼-東滿岔,東眼山,0.6,東滿岔路,1.5,DY002,06,東眼山(0.0)➡天德巷岔路(0.65),⇨東滿步道岔路(2.1),292804,2746511,24.825455,121.423465
東眼-東滿岔,東眼山,0.7,東滿岔路,1.4,DY002,07,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292877,2746456,24.824952,121.424193
東眼-東滿岔,東眼山,0.8,東滿岔路,1.3,DY002,08,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292902,2746360,24.824085,121.424435
東眼-東滿岔,東眼山,0.9,東滿岔路,1.2,DY002,09,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292926,2746264,24.823221,121.424663
東眼-東滿岔,東眼山,1.0,東滿岔路,1.1,DY002,10,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292971,2746181,24.822468,121.425109
東眼-東滿岔,東眼山,1.1,東滿岔路,1.0,DY002,11,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292961,2746087,24.821618,121.425005
東眼-東滿岔,東眼山,1.2,東滿岔路,0.9,DY002,12,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),292976,2745993,24.820771,121.425156
東眼-東滿岔,東眼山,1.3,東滿岔路,0.8,DY002,13,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),293006,2745915,24.820068,121.425445
東眼-東滿岔,東眼山,1.4,東滿岔路,0.7,DY002,14,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),293075,2745871,24.819669,121.426127
東眼-東滿岔,東眼山,1.5,東滿岔路,0.6,DY002,15,東眼山(0.0)⇨天德巷岔路(0.65),➡東滿步道岔路(2.1),293133,2745812,24.819132,121.426700
