[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
橫嶺山步道,橫嶺山隧道口,0.0,大雪山社區,6.6,TC084,0,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244888,2681254,24.236845,120.949667
橫嶺山步道,橫嶺山隧道口,0.1,大雪山社區,6.5,TC084,1,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244799,2681255,24.23684747,120.9487909
橫嶺山步道,橫嶺山隧道口,0.2,大雪山社區,6.4,TC084,2,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244711,2681227,24.23659497,120.9479168
橫嶺山步道,橫嶺山隧道口,0.3,大雪山社區,6.3,TC084,3,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244638,2681166,24.2360444,120.9471988
橫嶺山步道,橫嶺山隧道口,0.4,大雪山社區,6.2,TC084,4,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244559,2681133,24.23574394,120.9464276
橫嶺山步道,橫嶺山隧道口,0.5,大雪山社區,6.1,TC084,5,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244461,2681121,24.2356398,120.9454617
橫嶺山步道,橫嶺山隧道口,0.6,大雪山社區,6.0,TC084,6,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244415,2681040,24.23490391,120.9450057
橫嶺山步道,橫嶺山隧道口,0.7,大雪山社區,5.9,TC084,7,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244419,2680951,24.23410789,120.9450489
橫嶺山步道,橫嶺山隧道口,0.8,大雪山社區,5.8,TC084,8,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244429,2680877,24.23343178,120.9451397
橫嶺山步道,橫嶺山隧道口,0.9,大雪山社區,5.7,TC084,9,橫嶺山隧道口(0.0)➡橫嶺山主峰岔路(1.0),⇨大雪山社區(6.6),244399,2680804,24.23277856,120.9448498
橫嶺山步道,橫嶺山隧道口,1.0,大雪山社區,5.6,TC084,10,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244331,2680735,24.23215698,120.9441794
橫嶺山步道,橫嶺山隧道口,1.1,大雪山社區,5.5,TC084,11,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244253,2680756,24.23234241,120.9434134
橫嶺山步道,橫嶺山隧道口,1.2,大雪山社區,5.4,TC084,12,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244226,2680847,24.23316719,120.9431494
橫嶺山步道,橫嶺山隧道口,1.3,大雪山社區,5.3,TC084,13,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244160,2680907,24.23370771,120.9424962
橫嶺山步道,橫嶺山隧道口,1.4,大雪山社區,5.2,TC084,14,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244074,2680875,24.2334129,120.9416535
橫嶺山步道,橫嶺山隧道口,1.5,大雪山社區,5.1,TC084,15,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),244039,2680782,24.23257866,120.9413034
橫嶺山步道,橫嶺山隧道口,1.6,大雪山社區,5.0,TC084,16,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243979,2680718,24.23200169,120.9407142
橫嶺山步道,橫嶺山隧道口,1.7,大雪山社區,4.9,TC084,17,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243881,2680722,24.23203635,120.9397448
橫嶺山步道,橫嶺山隧道口,1.8,大雪山社區,4.8,TC084,18,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243811,2680753,24.23231651,120.9390586
橫嶺山步道,橫嶺山隧道口,1.9,大雪山社區,4.7,TC084,19,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243744,2680820,24.23291712,120.9383973
橫嶺山步道,橫嶺山隧道口,2.0,大雪山社區,4.6,TC084,20,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243686,2680899,24.23363161,120.9378245
橫嶺山步道,橫嶺山隧道口,2.1,大雪山社區,4.5,TC084,21,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243672,2680812,24.23284417,120.9376857
橫嶺山步道,橫嶺山隧道口,2.2,大雪山社區,4.4,TC084,22,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243597,2680810,24.23283033,120.9369508
橫嶺山步道,橫嶺山隧道口,2.3,大雪山社區,4.3,TC084,23,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243536,2680887,24.23351976,120.9363516
橫嶺山步道,橫嶺山隧道口,2.4,大雪山社區,4.2,TC084,24,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243458,2680935,24.23395736,120.9355828
橫嶺山步道,橫嶺山隧道口,2.5,大雪山社區,4.1,TC084,25,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243412,2680971,24.2342811,120.9351268
橫嶺山步道,橫嶺山隧道口,2.6,大雪山社區,4.0,TC084,26,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243506,2680951,24.23410033,120.9360594
橫嶺山步道,橫嶺山隧道口,2.7,大雪山社區,3.9,TC084,27,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243583,2680890,24.23355144,120.9368114
橫嶺山步道,橫嶺山隧道口,2.8,大雪山社區,3.8,TC084,28,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243563,2680940,24.23400354,120.9366153
橫嶺山步道,橫嶺山隧道口,2.9,大雪山社區,3.7,TC084,29,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243486,2680996,24.23450668,120.9358566
橫嶺山步道,橫嶺山隧道口,3.0,大雪山社區,3.6,TC084,30,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243386,2681004,24.23457813,120.9348757
橫嶺山步道,橫嶺山隧道口,3.1,大雪山社區,3.5,TC084,31,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243293,2680976,24.23432192,120.9339567
橫嶺山步道,橫嶺山隧道口,3.2,大雪山社區,3.4,TC084,32,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243275,2680883,24.23348983,120.9337763
橫嶺山步道,橫嶺山隧道口,3.3,大雪山社區,3.3,TC084,33,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243196,2680839,24.23308451,120.9330033
橫嶺山步道,橫嶺山隧道口,3.4,大雪山社區,3.2,TC084,34,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243110,2680800,24.23273834,120.9321529
橫嶺山步道,橫嶺山隧道口,3.5,大雪山社區,3.1,TC084,35,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),243034,2680744,24.23222633,120.9314081
橫嶺山步道,橫嶺山隧道口,3.6,大雪山社區,3.0,TC084,36,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242961,2680678,24.2316364,120.9306862
橫嶺山步道,橫嶺山隧道口,3.7,大雪山社區,2.9,TC084,37,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242869,2680655,24.23142411,120.9297879
橫嶺山步道,橫嶺山隧道口,3.8,大雪山社區,2.8,TC084,38,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242790,2680707,24.23189134,120.9290112
橫嶺山步道,橫嶺山隧道口,3.9,大雪山社區,2.7,TC084,39,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242705,2680722,24.23202948,120.9281674
橫嶺山步道,橫嶺山隧道口,4.0,大雪山社區,2.6,TC084,40,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242651,2680797,24.23271076,120.9276324
橫嶺山步道,橫嶺山隧道口,4.1,大雪山社區,2.5,TC084,41,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242580,2680860,24.23327223,120.9269387
橫嶺山步道,橫嶺山隧道口,4.2,大雪山社區,2.4,TC084,42,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242487,2680874,24.23340285,120.9260245
