[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
哈堪尼支線,主線叉路,0.0,加里山,7.2,NT200,00,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252496,2713292,24.526121,121.024632
哈堪尼支線,主線叉路,0.1,加里山,7.1,NT200,01,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252530,2713252,24.525760,121.024970
哈堪尼支線,主線叉路,0.2,加里山,7.0,NT200,02,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252568,2713195,24.525247,121.025349
哈堪尼支線,主線叉路,0.3,加里山,6.9,NT200,03,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252588,2713130,24.524663,121.025544
哈堪尼支線,主線叉路,0.4,加里山,6.8,NT200,04,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252606,2713063,24.524057,121.025722
哈堪尼支線,主線叉路,0.5,加里山,6.7,NT200,05,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252624,2712995,24.523445,121.025895
哈堪尼支線,主線叉路,0.6,加里山,6.6,NT200,06,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252633,2712926,24.522816,121.025987
哈堪尼支線,主線叉路,0.7,加里山,6.5,NT200,07,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252642,2712857,24.522191,121.026076
哈堪尼支線,主線叉路,0.8,加里山,6.4,NT200,08,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252673,2712804,24.521721,121.026384
哈堪尼支線,主線叉路,0.9,加里山,6.3,NT200,09,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252702,2712745,24.521187,121.026670
哈堪尼支線,主線叉路,1.0,加里山,6.2,NT200,10,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252731,2712686,24.520652,121.026949
哈堪尼支線,主線叉路,1.1,加里山,6.1,NT200,11,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252747,2712624,24.520090,121.027105
哈堪尼支線,主線叉路,1.2,加里山,6.0,NT200,12,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252791,2712584,24.519728,121.027543
哈堪尼支線,主線叉路,1.3,加里山,5.9,NT200,13,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252856,2712563,24.519544,121.028182
哈堪尼支線,主線叉路,1.4,加里山,5.8,NT200,14,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252920,2712539,24.519323,121.028814
哈堪尼支線,主線叉路,1.5,加里山,5.7,NT200,15,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),252983,2712517,24.519123,121.029442
哈堪尼支線,主線叉路,1.6,加里山,5.6,NT200,16,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),253043,2712493,24.518905,121.030026
哈堪尼支線,主線叉路,1.7,加里山,5.5,NT200,17,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),253077,2712447,24.518497,121.030366
哈堪尼支線,主線叉路,1.8,加里山,5.4,NT200,18,主線叉路(0.0)➡哈堪尼(3.0),⇨河谷營地(4.4)⇨加里山(7.2),253096,2712391,24.517984,121.030556
