[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
鹿場主線,鹿場,0.0,加里山,3.2,NT200,00,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252478,2713397,24.527072,121.024458
鹿場主線,鹿場,0.1,加里山,3.1,NT200,01,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252488,2713312,24.526300,121.024559
鹿場主線,鹿場,0.2,加里山,3.0,NT200,02,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252511,2713232,24.525581,121.024781
鹿場主線,鹿場,0.3,加里山,2.9,NT200,03,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252500,2713138,24.524736,121.024669
鹿場主線,鹿場,0.4,加里山,2.8,NT200,04,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252496,2713014,24.523611,121.024633
鹿場主線,鹿場,0.5,加里山,2.7,NT200,05,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252473,2712959,24.523119,121.024408
鹿場主線,鹿場,0.6,加里山,2.6,NT200,06,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252344,2712950,24.523032,121.023136
鹿場主線,鹿場,0.7,加里山,2.5,NT200,07,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252341,2712988,24.523378,121.023100
鹿場主線,鹿場,0.8,加里山,2.4,NT200,08,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252301,2712928,24.522833,121.022711
鹿場主線,鹿場,0.9,加里山,2.3,NT200,09,鹿場(0.0)➡避難小屋(1.75),⇨大坪支線(2.75)⇨加里山(3.2),252268,2712863,24.522253,121.022386
