路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,分段第一行,分段第二行,緯度,經度,東距,北距,GPX航點
鹿山線,0.0,YM170,55,0,圓峰山屋,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.456660,120.954850,245387,2594853,南鹿東0.0K
鹿山線,0.1,YM170,55,1,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.455694,120.955077,245410,2594746,南鹿東0.1K
鹿山線,0.2,YM170,55,2,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.454723,120.955569,245461,2594638,南鹿東0.2K
鹿山線,0.3,YM170,55,3,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.453971,120.955628,245467,2594555,南鹿東0.3K
鹿山線,0.4,YM170,55,4,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.453244,120.955389,245442,2594474,南鹿東0.4K
鹿山線,0.5,YM170,55,5,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.452530,120.955170,245420,2594395,南鹿東0.5K
鹿山線,0.6,YM170,55,6,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.451755,120.955238,245427,2594309,南鹿東0.6K
鹿山線,0.7,YM170,55,7,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.450990,120.955275,245431,2594225,南鹿東0.7K
鹿山線,0.8,YM170,55,8,三叉路口,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.450298,120.955266,245430,2594148,南鹿東0.8K
鹿山線,0.9,YM170,55,9,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.449531,120.955320,245435,2594063,鹿東0.9K
鹿山線,1.0,YM170,55,10,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.448699,120.955240,245427,2593971,鹿東1.0K
鹿山線,1.1,YM170,55,11,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.447986,120.955857,245490,2593892,鹿東1.1K
鹿山線,1.2,YM170,55,12,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.447557,120.956900,245596,2593844,鹿東1.2K
鹿山線,1.3,YM170,55,13,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.447086,120.957413,245649,2593792,鹿東1.3K
鹿山線,1.4,YM170,55,14,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往東小南山岔路(21)⇨鹿山(55),23.446539,120.957659,245674,2593732,鹿東1.4K
鹿山線,1.5,YM170,55,15,玉山南峰登山口,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.445726,120.958393,245749,2593642,鹿東1.5K
鹿山線,1.6,YM170,55,16,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.445326,120.958998,245811,2593597,鹿1.6K
鹿山線,1.7,YM170,55,17,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.445015,120.959624,245875,2593563,鹿1.7K
鹿山線,1.8,YM170,55,18,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.444790,120.960270,245941,2593538,鹿1.8K
鹿山線,1.9,YM170,55,19,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.444740,120.960890,246004,2593532,鹿1.9K
鹿山線,2.0,YM170,55,20,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往東小南山岔路(21)⇨鹿山(55),23.445153,120.961577,246074,2593578,鹿2.0K
鹿山線,2.1,YM170,55,21,往東小南山岔路,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.445398,120.962203,246138,2593605,鹿2.1K/支0.8K
鹿山線,2.2,YM170,55,22,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.445813,120.962713,246190,2593651,鹿2.2K
鹿山線,2.3,YM170,55,23,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.446140,120.963337,246254,2593687,鹿2.3K
鹿山線,2.4,YM170,55,24,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.446600,120.963692,246290,2593738,鹿2.4K
鹿山線,2.5,YM170,55,25,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.447233,120.964079,246330,2593808,鹿2.5K
鹿山線,2.6,YM170,55,26,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.447486,120.964719,246395,2593836,鹿2.6K
鹿山線,2.7,YM170,55,27,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.447398,120.965513,246476,2593827,鹿2.7K
鹿山線,2.8,YM170,55,28,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.447526,120.966330,246560,2593841,鹿2.8K
鹿山線,2.9,YM170,55,29,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.447810,120.966849,246613,2593872,鹿2.9K
鹿山線,3.0,YM170,55,30,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448099,120.967449,246674,2593904,鹿3.0K
鹿山線,3.1,YM170,55,31,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448082,120.968242,246755,2593902,鹿3.1K
鹿山線,3.2,YM170,55,32,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448197,120.968964,246829,2593915,鹿3.2K
鹿山線,3.3,YM170,55,33,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448345,120.969770,246911,2593931,鹿3.3K
鹿山線,3.4,YM170,55,34,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448636,120.970361,246972,2593964,鹿3.4K
鹿山線,3.5,YM170,55,35,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448971,120.971077,247045,2594001,鹿3.5K
鹿山線,3.6,YM170,55,36,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448745,120.971676,247106,2593976,鹿3.6K
鹿山線,3.7,YM170,55,37,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448684,120.972332,247173,2593969,鹿3.7K
鹿山線,3.8,YM170,55,38,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448589,120.973029,247244,2593958,鹿3.8K
鹿山線,3.9,YM170,55,39,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448747,120.973783,247321,2593976,鹿3.9K
鹿山線,4.0,YM170,55,40,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.448989,120.974430,247388,2594003,鹿4.0K
鹿山線,4.1,YM170,55,41,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.449218,120.975169,247463,2594028,鹿4.1K
鹿山線,4.2,YM170,55,42,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.449239,120.975948,247543,2594030,鹿4.2K
鹿山線,4.3,YM170,55,43,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.449427,120.976872,247637,2594051,鹿4.3K
鹿山線,4.4,YM170,55,44,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.449702,120.977953,247747,2594082,鹿4.4K
鹿山線,4.5,YM170,55,45,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450137,120.978871,247841,2594130,鹿4.5K
鹿山線,4.6,YM170,55,46,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450171,120.979900,247946,2594133,鹿4.6K
鹿山線,4.7,YM170,55,47,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450018,120.980940,248053,2594116,鹿4.7K
鹿山線,4.8,YM170,55,48,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.449795,120.981924,248153,2594092,鹿4.8K
鹿山線,4.9,YM170,55,49,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450180,120.982710,248233,2594134,鹿4.9K
鹿山線,5.0,YM170,55,50,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450565,120.983649,248329,2594177,鹿5.0K
鹿山線,5.1,YM170,55,51,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450848,120.984636,248430,2594208,鹿5.1K
鹿山線,5.2,YM170,55,52,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450952,120.985702,248539,2594220,鹿5.2K
鹿山線,5.3,YM170,55,53,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450911,120.986862,248658,2594215,鹿5.3K
鹿山線,5.4,YM170,55,54,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往東小南山岔路(21)➡鹿山(55),23.450810,120.987745,248748,2594204,鹿5.4K
鹿山線,5.5,YM170,55,55,鹿山,,,23.450630,120.988600,248835,2594184,鹿5.5K
鹿山線,5.4,YM170,55,54,,鹿山(55)➡往東小南山岔路(21),⇨南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.450810,120.987745,248748,2594204,鹿5.4K
鹿山線,5.3,YM170,55,53,,鹿山(55)➡往東小南山岔路(21),⇨南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.450911,120.986862,248658,2594215,鹿5.3K
