左下角備註,右下角備註
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
玉山國家公園、中華民國山岳協會合製,請珍惜國家公共資源
