里程(公里),里程,地標名稱,分段第一行,分段第二行
0.0,00,登山口,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.1,01,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.2,02,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.3,03,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.4,04,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.5,05,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.6,06,,登山口(00)➡產業道路終點(07)⇨,三錐山(29)⇨沼澤營地(32)
0.7,07,產業道路終點,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
0.8,08,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
0.9,09,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.0,10,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.1,11,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.2,12,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.3,13,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.4,14,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.5,15,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.6,16,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.7,17,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.8,18,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
1.9,19,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.0,20,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.1,21,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.2,22,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.3,23,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.4,24,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.5,25,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.6,26,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.7,27,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.8,28,,登山口(00)⇨產業道路終點(07)➡,三錐山(29)⇨沼澤營地(32)
2.9,29,三錐山,登山口(00)⇨產業道路終點(07)⇨,三錐山(29)➡沼澤營地(32)
3.0,30,,登山口(00)⇨產業道路終點(07)⇨,三錐山(29)➡沼澤營地(32)
3.1,31,,登山口(00)⇨產業道路終點(07)⇨,三錐山(29)➡沼澤營地(32)
3.2,32,沼澤營地,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.3,33,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.4,34,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.5,35,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.6,36,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.7,37,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.8,38,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
3.9,39,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
4.0,40,,沼澤營地(32)➡松針營地(41)⇨,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
4.1,41,松針營地,沼澤營地(32)⇨松針營地(41)➡,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
4.2,42,,沼澤營地(32)⇨松針營地(41)➡,松林營地(43)⇨草坡營地(46)⇨司晏池營地(48)
4.3,43,松林營地,沼澤營地(32)⇨松針營地(41)⇨,松林營地(43)➡草坡營地(46)⇨司晏池營地(48)
4.4,44,,沼澤營地(32)⇨松針營地(41)⇨,松林營地(43)➡草坡營地(46)⇨司晏池營地(48)
4.5,45,,沼澤營地(32)⇨松針營地(41)⇨,松林營地(43)➡草坡營地(46)⇨司晏池營地(48)
4.6,46,草坡營地,沼澤營地(32)⇨松針營地(41)⇨,松林營地(43)⇨草坡營地(46)➡司晏池營地(48)
4.7,47,,沼澤營地(32)⇨松針營地(41)⇨,松林營地(43)⇨草坡營地(46)➡司晏池營地(48)
4.8,48,司晏池營地,司晏池營地(48)➡司晏池(49)⇨,白姑大山中峰(57)⇨吉他營地(65)
4.9,49,司晏池,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.0,50,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.1,51,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
