[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,登山口,0.0,西巒大山,6.5,XL100,00,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240494,2623129,23.711972,120.906773,6.5
西巒大山,登山口,0.1,西巒大山,6.4,XL100,01,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240577,2623108,23.711791,120.907590,6.5
西巒大山,登山口,0.2,西巒大山,6.3,XL100,02,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240640,2623036,23.711133,120.908210,6.5
西巒大山,登山口,0.3,西巒大山,6.2,XL100,03,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240681,2622948,23.710346,120.908605,6.5
西巒大山,登山口,0.4,西巒大山,6.1,XL100,04,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240732,2622893,23.709844,120.909111,6.5
西巒大山,登山口,0.5,西巒大山,6.0,XL100,05,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240825,2622881,23.709736,120.910021,6.5
西巒大山,登山口,0.6,西巒大山,5.9,XL100,06,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240878,2622812,23.709113,120.910543,6.5
西巒大山,登山口,0.7,西巒大山,5.8,XL100,07,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240963,2622799,23.708995,120.911379,6.5
西巒大山,登山口,0.8,西巒大山,5.7,XL100,08,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),240973,2622704,23.708145,120.911473,6.5
西巒大山,登山口,0.9,西巒大山,5.6,XL100,09,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241061,2622671,23.707848,120.912334,6.5
西巒大山,登山口,1.0,西巒大山,5.5,XL100,10,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241145,2622625,23.707430,120.913156,6.5
西巒大山,登山口,1.1,西巒大山,5.4,XL100,11,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241214,2622582,23.707041,120.913833,6.5
西巒大山,登山口,1.2,西巒大山,5.3,XL100,12,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241299,2622560,23.706845,120.914670,6.5
西巒大山,登山口,1.3,西巒大山,5.2,XL100,13,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241379,2622517,23.706456,120.915457,6.5
西巒大山,登山口,1.4,西巒大山,5.1,XL100,14,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241461,2622477,23.706098,120.916260,6.5
西巒大山,登山口,1.5,西巒大山,5.0,XL100,15,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241551,2622457,23.705913,120.917140,6.5
西巒大山,登山口,1.6,西巒大山,4.9,XL100,16,登山口(0.0)➡林道叉路(1.68),⇨倒塌瞭望台(3.85)⇨西巒大山(6.5),241666,2622450,23.705855,120.918269,6.5
