Waypoint,路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,路線分段,分段第一行,分段第二行,緯度(DD),緯度,經度(DD),經度,東距,北距
0K,阿玉山山徑,0,,30,0,登山口,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773312,"24°46'24""",121.614888,"121°36'54""",312181,2740809
0.1K,阿玉山山徑,0.1,,30,1,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773548,"24°46'25""",121.614076,"121°36'51""",312099,2740835
0.2K,阿玉山山徑,0.2,,30,2,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773673,"24°46'25""",121.613113,"121°36'47""",312001,2740849
0.3K,阿玉山山徑,0.3,,30,3,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773452,"24°46'24""",121.612268,"121°36'44""",311916,2740824
0.4K,阿玉山山徑,0.4,,30,4,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773322,"24°46'24""",121.611359,"121°36'41""",311824,2740809
0.5K,阿玉山山徑,0.5,,30,5,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.773905,"24°46'26""",121.610945,"121°36'39""",311782,2740873
0.6K,阿玉山山徑,0.6,,30,6,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.774504,"24°46'28""",121.610371,"121°36'37""",311724,2740939
0.7K,阿玉山山徑,0.7,,30,7,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.774889,"24°46'30""",121.609559,"121°36'34""",311641,2740982
0.8K,阿玉山山徑,0.8,,30,8,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.775263,"24°46'31""",121.608881,"121°36'32""",311573,2741023
0.9K,阿玉山山徑,0.9,,30,9,撤退嶺,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.775906,"24°46'33""",121.608649,"121°36'31""",311543 ,2741095 
1.0K,阿玉山山徑,1,,30,10,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.776823,"24°46'37""",121.60798,"121°36'29""",311481,2741195
1.1K,阿玉山山徑,1.1,,30,11,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.777535,"24°46'39""",121.607833,"121°36'28""",311465,2741274
1.2K,阿玉山山徑,1.2,,30,12,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.778219,"24°46'42""",121.607564,"121°36'27""",311438,2741350
1.3K,阿玉山山徑,1.3,,30,13,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.77909,"24°46'45""",121.607525,"121°36'27""",311434,2741446
1.4K,阿玉山山徑,1.4,,30,14,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.779902,"24°46'48""",121.607976,"121°36'29""",311479,2741536
1.5K,阿玉山山徑,1.5,,30,15,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.780573,"24°46'50""",121.607976,"121°36'29""",311478,2741611
1.6K,阿玉山山徑,1.6,,30,16,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.78118,"24°46'52""",121.607485,"121°36'27""",311428,2741678
