Waypoint,路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,路線分段,分段第一行,分段第二行,緯度,經度,東距,北距
0K,雪山西稜,0,SM300,520,0,林道起點,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.27931,121.025503,252589,2685957
0.1K,雪山西稜,0.1,SM300,520,1,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.280032,121.025577,252597,2686037
0.2K,雪山西稜,0.2,SM300,520,2,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.280992,121.02578,252617,2686143
0.3K,雪山西稜,0.3,SM300,520,3,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.281917,121.025902,252630,2686245
0.4K,雪山西稜,0.4,SM300,520,4,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.282771,121.02551,252590,2686340
0.5K,雪山西稜,0.5,SM300,520,5,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.283679,121.025158,252554,2686441
0.6K,雪山西稜,0.6,SM300,520,6,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.284419,121.024691,252507,2686523
0.7K,雪山西稜,0.7,SM300,520,7,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.285032,121.025195,252558,2686590
0.8K,雪山西稜,0.8,SM300,520,8,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.28552,121.025934,252633,2686644
0.9K,雪山西稜,0.9,SM300,520,9,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.286131,121.026482,252688,2686712
1.0K,雪山西稜,1,SM300,520,10,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.286877,121.026814,252722,2686795
1.1K,雪山西稜,1.1,SM300,520,11,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.287371,121.027596,252801,2686850
1.2K,雪山西稜,1.2,SM300,520,12,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.28805,121.027617,252804,2686925
1.3K,雪山西稜,1.3,SM300,520,13,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.288646,121.026974,252738,2686991
1.4K,雪山西稜,1.4,SM300,520,14,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.289174,121.026408,252681,2687049
1.5k/1.5K,雪山西稜,1.5,SM300,520,15,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.290114,121.026468,252687,2687153
1.6K,雪山西稜,1.6,SM300,520,16,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.290426,121.025861,252625,2687188
1.7K,雪山西稜,1.7,SM300,520,17,,林道起點-雪山西稜,林道起點(000)➡雙溪前營地(115)⇨,廢棄工寮(170)⇨合流山登山口(212)⇨大營地(260),24.290457,121.024951,252533,2687191
